"year","year_anomaly"
1983,0.345833333333333
1984,0.1925
1985,0.156666666666667
1986,0.223333333333333
1987,0.341666666666667
1988,0.401666666666667
1989,0.283333333333333
1990,0.451666666666667
1991,0.4175
1992,0.239166666666667
1993,0.269166666666667
1994,0.3275
1995,0.48
1996,0.35
1997,0.4875
1998,0.6325
1999,0.41
2000,0.411666666666667
2001,0.548333333333333
2002,0.620833333333333
2003,0.628333333333333
2004,0.56
2005,0.695833333333333
2006,0.654166666666667
2007,0.645
2008,0.545
2009,0.6675
2010,0.735
2011,0.615
2012,0.655
2013,0.679166666666667
2014,0.755
2015,0.915833333333333
2016,1.03
2017,0.939166666666667
2018,0.873333333333333
2019,0.985833333333333
2020,1.01916666666667
2021,0.866666666666667
