Entity,Code,Year,"Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes"
World,OWID_WRL,1961,28753174
World,OWID_WRL,1962,30305242
World,OWID_WRL,1963,31973646
World,OWID_WRL,1964,32434628
World,OWID_WRL,1965,33038106
World,OWID_WRL,1966,34751600
World,OWID_WRL,1967,36494636
World,OWID_WRL,1968,38225144
World,OWID_WRL,1969,39208590
World,OWID_WRL,1970,39658852
World,OWID_WRL,1971,39410330
World,OWID_WRL,1972,39895932
World,OWID_WRL,1973,40257684
World,OWID_WRL,1974,43309140
World,OWID_WRL,1975,45195864
World,OWID_WRL,1976,47603556
World,OWID_WRL,1977,48007796
World,OWID_WRL,1978,48535452
World,OWID_WRL,1979,47382020
World,OWID_WRL,1980,47200716
World,OWID_WRL,1981,47661204
World,OWID_WRL,1982,47757196
World,OWID_WRL,1983,49034412
World,OWID_WRL,1984,50439336
World,OWID_WRL,1985,51351004
World,OWID_WRL,1986,53107880
World,OWID_WRL,1987,53075240
World,OWID_WRL,1988,53568584
World,OWID_WRL,1989,53795532
World,OWID_WRL,1990,55351170
World,OWID_WRL,1991,55351156
World,OWID_WRL,1992,54537624
World,OWID_WRL,1993,53445340
World,OWID_WRL,1994,53506360
World,OWID_WRL,1995,54397344
World,OWID_WRL,1996,55165556
World,OWID_WRL,1997,56529370
World,OWID_WRL,1998,56365644
World,OWID_WRL,1999,57894196
World,OWID_WRL,2000,58336972
World,OWID_WRL,2001,58196850
World,OWID_WRL,2002,59455884
World,OWID_WRL,2003,60433988
World,OWID_WRL,2004,62215520
World,OWID_WRL,2005,62665410
World,OWID_WRL,2006,64291944
World,OWID_WRL,2007,66177150
World,OWID_WRL,2008,66536750
World,OWID_WRL,2009,67240760
World,OWID_WRL,2010,67369976
World,OWID_WRL,2011,67385510
World,OWID_WRL,2012,67977920
World,OWID_WRL,2013,69255790
World,OWID_WRL,2014,69797700
World,OWID_WRL,2015,69547440
World,OWID_WRL,2016,69892300
World,OWID_WRL,2017,71118024
World,OWID_WRL,2018,72966970
World,OWID_WRL,2019,73993960
World,OWID_WRL,2020,73003380
World,OWID_WRL,2021,74071690
World,OWID_WRL,2022,75423450
World,OWID_WRL,2023,76560810
