"date","temp_anomaly"
1983-07-01,0.23
1983-08-01,0.36
1983-09-01,0.42
1983-10-01,0.22
1983-11-01,0.35
1983-12-01,0.24
1984-01-01,0.31
1984-02-01,0.2
1984-03-01,0.31
1984-04-01,0.12
1984-05-01,0.36
1984-06-01,0.11
1984-07-01,0.18
1984-08-01,0.21
1984-09-01,0.24
1984-10-01,0.17
1984-11-01,0.08
1984-12-01,0.02
1985-01-01,0.27
1985-02-01,0.04
1985-03-01,0.22
1985-04-01,0.15
1985-05-01,0.2
1985-06-01,0.19
1985-07-01,0.04
1985-08-01,0.17
1985-09-01,0.17
1985-10-01,0.13
1985-11-01,0.11
1985-12-01,0.19
1986-01-01,0.28
1986-02-01,0.39
1986-03-01,0.31
1986-04-01,0.25
1986-05-01,0.27
1986-06-01,0.18
1986-07-01,0.17
1986-08-01,0.19
1986-09-01,0.12
1986-10-01,0.17
1986-11-01,0.14
1986-12-01,0.21
1987-01-01,0.35
1987-02-01,0.39
1987-03-01,0.19
1987-04-01,0.26
1987-05-01,0.32
1987-06-01,0.36
1987-07-01,0.48
1987-08-01,0.31
1987-09-01,0.4
1987-10-01,0.33
1987-11-01,0.26
1987-12-01,0.45
1988-01-01,0.55
1988-02-01,0.46
1988-03-01,0.52
1988-04-01,0.45
1988-05-01,0.46
1988-06-01,0.43
1988-07-01,0.36
1988-08-01,0.41
1988-09-01,0.39
1988-10-01,0.36
1988-11-01,0.14
1988-12-01,0.29
1989-01-01,0.11
1989-02-01,0.32
1989-03-01,0.32
1989-04-01,0.31
1989-05-01,0.2
1989-06-01,0.22
1989-07-01,0.3
1989-08-01,0.33
1989-09-01,0.39
1989-10-01,0.32
1989-11-01,0.17
1989-12-01,0.41
1990-01-01,0.39
1990-02-01,0.4
1990-03-01,0.75
1990-04-01,0.61
1990-05-01,0.52
1990-06-01,0.39
1990-07-01,0.42
1990-08-01,0.36
1990-09-01,0.32
1990-10-01,0.42
1990-11-01,0.41
1990-12-01,0.43
1991-01-01,0.41
1991-02-01,0.5
1991-03-01,0.37
1991-04-01,0.52
1991-05-01,0.42
1991-06-01,0.54
1991-07-01,0.48
1991-08-01,0.42
1991-09-01,0.42
1991-10-01,0.33
1991-11-01,0.3
1991-12-01,0.3
1992-01-01,0.43
1992-02-01,0.43
1992-03-01,0.47
1992-04-01,0.3
1992-05-01,0.34
1992-06-01,0.3
1992-07-01,0.14
1992-08-01,0.11
1992-09-01,0.04
1992-10-01,0.06
1992-11-01,0.05
1992-12-01,0.2
1993-01-01,0.34
1993-02-01,0.4
1993-03-01,0.37
1993-04-01,0.32
1993-05-01,0.3
1993-06-01,0.31
1993-07-01,0.27
1993-08-01,0.18
1993-09-01,0.19
1993-10-01,0.26
1993-11-01,0.08
1993-12-01,0.21
1994-01-01,0.23
1994-02-01,0.06
1994-03-01,0.3
1994-04-01,0.4
1994-05-01,0.33
1994-06-01,0.43
1994-07-01,0.32
1994-08-01,0.25
1994-09-01,0.35
1994-10-01,0.44
1994-11-01,0.43
1994-12-01,0.39
1995-01-01,0.54
1995-02-01,0.76
1995-03-01,0.51
1995-04-01,0.5
1995-05-01,0.33
1995-06-01,0.47
1995-07-01,0.5
1995-08-01,0.53
1995-09-01,0.41
1995-10-01,0.44
1995-11-01,0.46
1995-12-01,0.31
1996-01-01,0.28
1996-02-01,0.49
1996-03-01,0.38
1996-04-01,0.34
1996-05-01,0.33
1996-06-01,0.3
1996-07-01,0.37
1996-08-01,0.45
1996-09-01,0.29
1996-10-01,0.21
1996-11-01,0.4
1996-12-01,0.36
1997-01-01,0.26
1997-02-01,0.37
1997-03-01,0.52
1997-04-01,0.39
1997-05-01,0.39
1997-06-01,0.56
1997-07-01,0.43
1997-08-01,0.47
1997-09-01,0.61
1997-10-01,0.64
1997-11-01,0.63
1997-12-01,0.58
1998-01-01,0.6
1998-02-01,0.81
1998-03-01,0.64
1998-04-01,0.72
1998-05-01,0.7
1998-06-01,0.74
1998-07-01,0.71
1998-08-01,0.71
1998-09-01,0.5
1998-10-01,0.44
1998-11-01,0.44
1998-12-01,0.58
1999-01-01,0.47
1999-02-01,0.65
1999-03-01,0.36
1999-04-01,0.36
1999-05-01,0.32
1999-06-01,0.41
1999-07-01,0.38
1999-08-01,0.38
1999-09-01,0.42
1999-10-01,0.34
1999-11-01,0.36
1999-12-01,0.47
2000-01-01,0.31
2000-02-01,0.54
2000-03-01,0.53
2000-04-01,0.59
2000-05-01,0.37
2000-06-01,0.39
2000-07-01,0.41
2000-08-01,0.44
2000-09-01,0.45
2000-10-01,0.31
2000-11-01,0.3
2000-12-01,0.3
2001-01-01,0.46
2001-02-01,0.43
2001-03-01,0.54
2001-04-01,0.53
2001-05-01,0.57
2001-06-01,0.53
2001-07-01,0.62
2001-08-01,0.54
2001-09-01,0.55
2001-10-01,0.5
2001-11-01,0.69
2001-12-01,0.62
2002-01-01,0.68
2002-02-01,0.68
2002-03-01,0.83
2002-04-01,0.56
2002-05-01,0.66
2002-06-01,0.58
2002-07-01,0.64
2002-08-01,0.56
2002-09-01,0.61
2002-10-01,0.57
2002-11-01,0.57
2002-12-01,0.51
2003-01-01,0.71
2003-02-01,0.62
2003-03-01,0.59
2003-04-01,0.57
2003-05-01,0.6
2003-06-01,0.5
2003-07-01,0.58
2003-08-01,0.65
2003-09-01,0.69
