"export","urban","gdp","population_0.14","population_15_64","population_65","trade","trade_service","GDP","year","month"
21.0579865333333,45.070110155,7161.82887133332,31.8310478983334,61.65257609,6.51637600649999,43.2135425866667,7.93119831883338,41599533333333.2,1995,11
21.0948509916667,45.0993617025,7173.86067066668,31.8075289591666,61.66987931,6.52259172525001,43.2247638333333,7.87797845891662,41720116666666.8,1995,12
21.13171545,45.12861325,7185.89247,31.78401002,61.68718253,6.528807444,43.23598508,7.824758599,4.18407e+13,1996,1
21.2046008683333,45.1582427758333,7200.52109549999,31.756759735,61.7080155891666,6.53522466991666,43.3892789466665,7.86018551441663,41978541666666.5,1996,2
21.2774862866667,45.1878723016667,7215.14972100001,31.72950945,61.7288486483334,6.54164189583334,43.5425728133335,7.89561242983337,42116383333333.5,1996,3
21.350371705,45.2175018275,7229.7783465,31.702259165,61.7496817075,6.54805912175,43.69586668,7.93103934525,4.2254225e+13,1996,4
21.4232571233333,45.2471313533333,7244.40697199999,31.67500888,61.7705147666667,6.55447634766666,43.8491605466665,7.96646626066663,42392066666666.5,1996,5
21.4961425416667,45.2767608791667,7259.03559750001,31.647758595,61.7913478258334,6.56089357358334,44.0024544133335,8.00189317608337,42529908333333.5,1996,6
21.56902796,45.306390405,7273.664223,31.62050831,61.812180885,6.5673107995,44.15574828,8.0373200915,4.266775e+13,1996,7
21.6419133783333,45.3360199308333,7288.29284849999,31.593258025,61.8330139441666,6.57372802541666,44.3090421466665,8.07274700691663,42805591666666.5,1996,8
21.7147987966667,45.3656494566667,7302.92147400001,31.56600774,61.8538470033333,6.58014525133334,44.4623360133335,8.10817392233337,42943433333333.5,1996,9
21.787684215,45.3952789825,7317.5500995,31.538757455,61.8746800625,6.58656247725,44.61562988,8.14360083775,4.3081275e+13,1996,10
21.8605696333333,45.4249085083333,7332.17872499999,31.51150717,61.8955131216666,6.59297970316666,44.7689237466665,8.17902775316663,43219116666666.5,1996,11
21.9334550516667,45.4545380341667,7346.80735050001,31.484256885,61.9163461808334,6.59939692908334,44.9222176133335,8.21445466858337,43356958333333.5,1996,12
22.00634047,45.48416756,7361.435976,31.4570066,61.93717924,6.605814155,45.07551148,8.249881584,4.34948e+13,1997,1
21.9910111358334,45.5144373,7369.87027608333,31.4276841216667,61.9601086683333,6.61220720566666,45.1157270616666,8.27334128624998,43597849999999.9,1997,2
21.9756818016667,45.54470704,7378.30457616667,31.3983616433333,61.9830380966667,6.61860025633334,45.1559426433334,8.29680098850002,43700900000000.1,1997,3
21.9603524675,45.57497678,7386.73887625,31.369039165,62.005967525,6.624993307,45.196158225,8.32026069075,4.380395e+13,1997,4
21.9450231333333,45.60524652,7395.17317633333,31.3397166866667,62.0288969533333,6.63138635766666,45.2363738066666,8.34372039299998,43906999999999.9,1997,5
21.9296937991667,45.63551626,7403.60747641667,31.3103942083333,62.0518263816667,6.63777940833334,45.2765893883334,8.36718009525002,44010050000000.1,1997,6
21.914364465,45.665786,7412.0417765,31.28107173,62.07475581,6.644172459,45.31680497,8.3906397975,4.41131e+13,1997,7
21.8990351308333,45.69605574,7420.47607658333,31.2517492516667,62.0976852383333,6.65056550966666,45.3570205516666,8.41409949974998,44216149999999.9,1997,8
21.8837057966667,45.72632548,7428.91037666667,31.2224267733333,62.1206146666667,6.65695856033334,45.3972361333334,8.43755920200002,44319200000000.1,1997,9
21.8683764625,45.75659522,7437.34467675,31.193104295,62.143544095,6.663351611,45.437451715,8.46101890425,4.442225e+13,1997,10
21.8530471283333,45.78686496,7445.77897683333,31.1637818166667,62.1664735233333,6.66974466166666,45.4776672966666,8.48447860649998,44525299999999.9,1997,11
21.8377177941667,45.8171347,7454.21327691667,31.1344593383333,62.1894029516667,6.67613771233334,45.5178828783334,8.50793830875002,44628350000000.1,1997,12
21.82238846,45.84740444,7462.647577,31.10513686,62.21233238,6.682530763,45.55809846,8.531398011,4.47314e+13,1998,1
21.8301018675,45.8780981658333,7476.02639358332,31.0756265208334,62.2356192191666,6.68875426241666,45.5966532691666,8.56196890208331,44865191666666.5,1998,2
21.837815275,45.9087918916667,7489.40521016668,31.0461161816666,62.2589060583334,6.69497776183334,45.6352080783334,8.5925397931667,44998983333333.5,1998,3
21.8455286825,45.9394856175,7502.78402675,31.0166058425,62.2821928975,6.70120126125,45.6737628875,8.62311068425,4.5132775e+13,1998,4
21.85324209,45.9701793433333,7516.16284333332,30.9870955033334,62.3054797366666,6.70742476066666,45.7123176966666,8.65368157533331,45266566666666.5,1998,5
21.8609554975,46.0008730691667,7529.54165991668,30.9575851641666,62.3287665758334,6.71364826008334,45.7508725058334,8.68425246641669,45400358333333.5,1998,6
21.868668905,46.031566795,7542.9204765,30.928074825,62.352053415,6.7198717595,45.789427315,8.7148233575,4.553415e+13,1998,7
21.8763823125,46.0622605208333,7556.29929308332,30.8985644858334,62.3753402541666,6.72609525891666,45.8279821241666,8.74539424858331,45667941666666.5,1998,8
21.88409572,46.0929542466667,7569.67810966668,30.8690541466666,62.3986270933334,6.73231875833334,45.8665369333334,8.7759651396667,45801733333333.5,1998,9
21.8918091275,46.1236479725,7583.05692625,30.8395438075,62.4219139325,6.73854225775,45.9050917425,8.80653603075,4.5935525e+13,1998,10
21.899522535,46.1543416983333,7596.43574283332,30.8100334683334,62.4452007716666,6.74476575716666,45.9436465516666,8.83710692183331,46069316666666.5,1998,11
21.9072359425,46.1850354241667,7609.81455941668,30.7805231291666,62.4684876108334,6.75098925658334,45.9822013608334,8.86767781291669,46203108333333.5,1998,12
21.91494935,46.21572915,7623.193376,30.75101279,62.49177445,6.757212756,46.02075617,8.898248704,4.63369e+13,1999,1
22.0475980499999,46.2473123883333,7642.99283208332,30.7206769541667,62.5155920316666,6.76373101049999,46.3877601949997,8.92634448433331,46511933333333.2,1999,2
22.1802467500001,46.2788956266667,7662.79228816668,30.6903411183333,62.5394096133334,6.77024926500001,46.7547642200003,8.95444026466669,46686966666666.8,1999,3
22.31289545,46.310478865,7682.59174425,30.6600052825,62.563227195,6.7767675195,47.121768245,8.982536045,4.6862e+13,1999,4
22.4455441499999,46.3420621033333,7702.39120033332,30.6296694466667,62.5870447766666,6.78328577399999,47.4887722699997,9.01063182533331,47037033333333.2,1999,5
22.5781928500001,46.3736453416667,7722.19065641668,30.5993336108333,62.6108623583334,6.78980402850001,47.8557762950003,9.03872760566669,47212066666666.8,1999,6
22.71084155,46.40522858,7741.9901125,30.568997775,62.63467994,6.796322283,48.22278032,9.066823386,4.73871e+13,1999,7
22.8434902499999,46.4368118183333,7761.78956858332,30.5386619391667,62.6584975216666,6.80284053749999,48.5897843449997,9.09491916633331,47562133333333.2,1999,8
22.9761389500001,46.4683950566667,7781.58902466668,30.5083261033333,62.6823151033334,6.80935879200001,48.9567883700003,9.12301494666669,47737166666666.8,1999,9
23.10878765,46.499978295,7801.38848075,30.4779902675,62.706132685,6.8158770465,49.323792395,9.151110727,4.79122e+13,1999,10
23.2414363499999,46.5315615333333,7821.18793683332,30.4476544316667,62.7299502666666,6.82239530099999,49.6907964199997,9.17920650733331,48087233333333.2,1999,11
23.3740850500001,46.5631447716667,7840.98739291669,30.4173185958333,62.7537678483334,6.82891355550001,50.0578004450003,9.20730228766669,48262266666666.8,1999,12
23.50673375,46.59472801,7860.786849,30.38698276,62.77758543,6.83543181,50.42480447,9.235398068,4.84373e+13,2000,1
23.4570848816667,46.631761725,7865.20119475,30.3554336125,62.8020941916666,6.84247219583333,50.3308181858334,9.24602097116666,48519383333333.3,2000,2
23.4074360133333,46.66879544,7869.6155405,30.323884465,62.8266029533334,6.84951258166667,50.2368319016666,9.25664387433334,48601466666666.7,2000,3
23.357787145,46.705829155,7874.02988625,30.2923353175,62.851111715,6.8565529675,50.1428456175,9.2672667775,4.868355e+13,2000,4
23.3081382766667,46.74286287,7878.444232,30.26078617,62.8756204766666,6.86359335333333,50.0488593333334,9.27788968066666,48765633333333.3,2000,5
23.2584894083333,46.779896585,7882.85857775,30.2292370225,62.9001292383334,6.87063373916667,49.9548730491666,9.28851258383334,48847716666666.7,2000,6
23.20884054,46.8169303,7887.2729235,30.197687875,62.924638,6.877674125,49.860886765,9.299135487,4.89298e+13,2000,7
23.1591916716667,46.853964015,7891.68726925,30.1661387275,62.9491467616666,6.88471451083333,49.7669004808334,9.30975839016666,49011883333333.3,2000,8
23.1095428033333,46.89099773,7896.101615,30.13458958,62.9736555233334,6.89175489666667,49.6729141966666,9.32038129333334,49093966666666.7,2000,9
23.059893935,46.928031445,7900.51596075,30.1030404325,62.998164285,6.8987952825,49.5789279125,9.3310041965,4.917605e+13,2000,10
23.0102450666667,46.96506516,7904.9303065,30.071491285,63.0226730466666,6.90583566833333,49.4849416283334,9.34162709966666,49258133333333.3,2000,11
