methane,social factors,value
1798.78,import,97.03
1799.47,import,99.23
1799.58,import,99.03
1797.62,import,101.93
1792.48,import,104.6
1789.43,import,102.77
1794.1,import,105.75
1801.87,import,105.14
1806.6,import,105.71
1807,import,105.18
1803.28,import,108.19
1800.03,import,113.16
1800.04,import,109.98
1801.03,import,113.83
1802.81,import,113.17
1803.15,import,115.47
1799.09,import,115.51
1796.14,import,115.48
1799.05,import,115.06
1804.24,import,114.8
1809.69,import,115.32
1812.35,import,115.42
1810.03,import,117.65
1807.4,import,117.76
1808.37,import,114.55
1810.07,import,120.36
1808.48,import,117.54
1804.77,import,116.99
1801.01,import,115.74
1799.37,import,114.98
1803.3,import,114.05
1810.16,import,114.44
1814.84,import,112.37
1815.95,import,116.39
1814.59,import,113.66
1814.05,import,114.76
1814.15,import,115.85
1813.26,import,110.94
1812.82,import,113.71
1811.94,import,115.34
1808.62,import,112.6
1805.99,import,112.96
1808.53,import,112.91
1814.26,import,114.73
1818.51,import,114.55
1820.34,import,113.22
1819.35,import,112.18
1816.8,import,113.89
1816.32,import,114.35
1818.09,import,117.8
1820.87,import,118.55
1821.88,import,117.03
1818.31,import,115.67
1815.52,import,116.14
1819.69,import,115.62
1826.82,import,116.57
1831.18,import,116.65
1833.02,import,115.05
1833.54,import,116.98
1833.08,import,113.42
1832.93,import,109.19
1833.22,import,117.54
1833.17,import,112.49
1831.54,import,110.7
1827.14,import,112.23
1824.6,import,110.37
1829,import,111
1836.24,import,110.16
1841.5,import,108.33
1844.61,import,106.83
1844.77,import,106.89
1842.43,import,104.56
1841.65,import,107.5
1843.02,import,102.93
1843.74,import,104.3
1842.13,import,105.23
1837.84,import,107.21
1834.16,import,107.05
1836.69,import,107.37
1844.18,import,106.41
1849.87,import,106.35
1851.44,import,108.4
1851.05,import,108.84
1849.68,import,111.12
1848.4,import,109.3
1848.19,import,109.78
1848.53,import,111.19
1847.14,import,110.28
1842.94,import,110.71
1840.39,import,109.88
1844.64,import,109.53
1852.75,import,110.25
1858.01,import,111.89
1858.52,import,115.35
1856.51,import,117.51
1854.43,import,116.26
1854.98,import,118.2
1856.88,import,117.04
1856.69,import,117.55
1854.82,import,116.53
1852.03,import,116.94
1849.09,import,118.44
1851.92,import,118.14
1860.48,import,119.65
1865.76,import,120.26
1866.27,import,116.99
1866.03,import,118.7
1864.98,import,115.93
1865.03,import,115.72
1866.33,import,116.11
1865.31,import,114.59
1861.98,import,117.47
1858.79,import,114.9
1858.23,import,114.66
1862.9,import,114.53
1870.78,import,111.68
1875.42,import,110.07
1875.61,import,108.74
1874.62,import,110.97
1872.9,import,109.1
1872.29,import,107.17
1874.4,import,103.63
1875.79,import,92.16
1874.41,import,91
1871.99,import,94.87
1871.47,import,105.77
1876.39,import,108.51
1884.56,import,107.98
1889.96,import,111.1
1891.44,import,114.43
1890.96,import,115.25
1888.59,import,116.81
1886.65,import,116.35
1888.01,import,121.61
1890.78,import,120.31
1891.27,import,120.43
1888.09,import,122.18
1885.98,import,120.37
1892.31,import,121.68
1902.44,import,121.49
1907.9,import,122.33
1909.2,import,128.17
1907.95,import,129.61
1906.31,import,129.44
1906.41,import,130.23
1907.79,import,140.91
1908.83,import,135.29
1907.48,import,134.16
1904.85,import,132.66
1904.01,import,128.05
1908.32,import,126.95
1915.06,import,126.26
1919.43,import,126.89
1922.09,import,119.13
1921.99,import,121.66
1919.97,import,123.09
1918.93,import,120.73
1918.75,import,117.81
1920.06,import,120.09
1919.72,import,116.84
1915.46,import,115.94
1913.18,import,117.12
1917.09,import,116.14
1924.92,import,117.75
1930.59,import,117.81
1931.75,import,115.85
1931.12,import,116.92
1928.5,import,117.27
1926.47,import,120.06
1928.12,import,117.58
1929.45,import,120.82
1926.04,import,119.92
1921.35,import,120.85
1920.59,import,123.51
1926.11,import,121.62
1935.94,import,126.18
1941.81,import,118.93
1940.75,import,123.73
1625.96,ip,43.65
1628.05,ip,44.29
1638.43,ip,44.77
1644.8,ip,44.78
1642.61,ip,45.15
1639.54,ip,45.61
1638.73,ip,45.97
1638.82,ip,46.24
1640.87,ip,46.2
1643.96,ip,46.17
1643.14,ip,46.89
1639.75,ip,46.66
1638,ip,47.03
1641.69,ip,47.33
1650.61,ip,47.09
1654.59,ip,47.15
1653.78,ip,47.12
1656.2,ip,47.27
1655.6,ip,47.56
1652.24,ip,47.69
1654.62,ip,47.99
1658.18,ip,47.62
1655.87,ip,47.98
1650.06,ip,47.7
1646.81,ip,48.02
1652.24,ip,47.95
1662.49,ip,48.24
1667.5,ip,48.71
1666.81,ip,49.15
1666.05,ip,49.07
1666.28,ip,49.34
1666.92,ip,49.37
1669.27,ip,49.11
1670.79,ip,49.74
1668.44,ip,49.26
1664.78,ip,49.67
1662.33,ip,50.14
1664.37,ip,49.96
1672.58,ip,50.28
1678.67,ip,50.47
1678.98,ip,50.26
1679.11,ip,50.61
1679.39,ip,50.25
1679.03,ip,51.09
1680.02,ip,51.09
1681.33,ip,51.44
1681.84,ip,51.62
1680,ip,51.85
1675.96,ip,52.1
1677.16,ip,52.13
1685.59,ip,52.71
1691.57,ip,53.22
1691.17,ip,53.52
1690.49,ip,53.71
1692.03,ip,53.84
1692.62,ip,54.52
1691.37,ip,54.61
1690.1,ip,54.69
1689.1,ip,54.81
1687.17,ip,55.19
1686,ip,54.99
1689.44,ip,55.48
1696.12,ip,55.72
1701.14,ip,55.56
1702.85,ip,56.16
1701.92,ip,56.68
1700.53,ip,56.64
1701.08,ip,56.25
1702.47,ip,56.69
1703.58,ip,57.27
1703.37,ip,56.91
1700.21,ip,57.55
1698.2,ip,57
1701.98,ip,57.44
1707.19,ip,57.4
1710.52,ip,57.36
1713.12,ip,57.64
1713.23,ip,57.98
1712.14,ip,57.98
1713.54,ip,58.22
1714.42,ip,58.94
1712.55,ip,57.91
1710.65,ip,58.77
1708.47,ip,58.94
1706.56,ip,58.99
1710.22,ip,59.29
1717.59,ip,59.65
1722.01,ip,59.54
1723.47,ip,59.33
1723.29,ip,59.19
1721.57,ip,59.66
1721.25,ip,59.57
1722.06,ip,59.41
1722.37,ip,59.25
1722.07,ip,59.63
1718.88,ip,59.77
1715.95,ip,60.19
1719.12,ip,60.04
1726.05,ip,60.21
1732.71,ip,60.54
1737.47,ip,60.44
1739.58,ip,59.74
1738.93,ip,60.48
1737.38,ip,60.97
1736.92,ip,60.92
1736.64,ip,60.97
1734.97,ip,60.6
1731.58,ip,60.9
1728.81,ip,61.12
1730.33,ip,60.69
1734.61,ip,61.28
1737.67,ip,61.43
1739.23,ip,61.2
1738.56,ip,60.75
1735.77,ip,61.16
1734.37,ip,62.11
1735.39,ip,61.99
1736.58,ip,62.1
1735,ip,62.24
1730.89,ip,62.21
1728.01,ip,62.26
1731.14,ip,62.16
1738.45,ip,62.54
1743.38,ip,62.45
1745.22,ip,62.6
1744.29,ip,62.84
1741.42,ip,62.96
1740.89,ip,63.18
1741.96,ip,63.52
1741.93,ip,64.24
1740.64,ip,64.34
1736.9,ip,64.8
1732.39,ip,64.86
1734.06,ip,65.77
1742.89,ip,66.11
1749.76,ip,66.53
1751.23,ip,67.15
1751.61,ip,67.69
1751.12,ip,67.67
1749.51,ip,67.52
1749,ip,67.63
1749.42,ip,67.78
1747.65,ip,68.04
1742.84,ip,68.16
1740.16,ip,68.03
1743.58,ip,68.54
1749.77,ip,68.57
1754.34,ip,68.48
1755.51,ip,68.93
1753.86,ip,69.39
1752.23,ip,69.37
1752.75,ip,69.36
1752.22,ip,69.7
1749.59,ip,70.04
1748.3,ip,70.69
1746.05,ip,70.56
1742.05,ip,70.95
1744.29,ip,71.27
1752.64,ip,71.41
1758.89,ip,71.93
1760.04,ip,72.2
1756.92,ip,72.45
1753.38,ip,72.83
1753.86,ip,73.1
1755.68,ip,73.74
1755.53,ip,74.45
1753.8,ip,74.5
1750.09,ip,75.05
1746.04,ip,75.65
1747.75,ip,75.73
1754.98,ip,76.1
1760.28,ip,76.76
1761.71,ip,76.33
1761.89,ip,76.52
1761.44,ip,76.32
1761.44,ip,76.46
1762.95,ip,76.43
1764.69,ip,76.69
1764.24,ip,76.54
1760.33,ip,76.46
1756.15,ip,76.45
1760.19,ip,76.4
1770.67,ip,76.79
1776.23,ip,76.83
1775.48,ip,76.83
1774.04,ip,77
1773.79,ip,77.08
1773.9,ip,77.45
1774.58,ip,77.96
1774.95,ip,78.3
1772.66,ip,78.6
1767.35,ip,78.78
1762.94,ip,79.26
1764.62,ip,79.6
1771.01,ip,80.1
1776.61,ip,80.42
1778.55,ip,81.4
1777.24,ip,82.35
1775.53,ip,81.67
1775.45,ip,82.77
1776.5,ip,83.21
1777.2,ip,83.58
1774.57,ip,84.35
1768.14,ip,84.6
1763.46,ip,84.96
1765.45,ip,85.43
1772.05,ip,85.26
1777.09,ip,85.41
1777.73,ip,85.78
1775.32,ip,85.87
1772.87,ip,85.29
1772.53,ip,85.55
1773.66,ip,85.18
1773.87,ip,84.66
1770.87,ip,84.98
1766.11,ip,84.64
1763.02,ip,83.92
1764.51,ip,84.65
1770.45,ip,83.94
1775.48,ip,83.54
1776.57,ip,83.47
1775.93,ip,83.06
1774.09,ip,84.08
1772.82,ip,84.17
1773.41,ip,84.82
1772.74,ip,85.61
1770.3,ip,86.09
1766.91,ip,85.99
1764.21,ip,86.72
1766.85,ip,87.05
1773.67,ip,87.32
1778.25,ip,87.54
1779.5,ip,87.88
1779.65,ip,87.3
1777.53,ip,88.63
1774.83,ip,89.06
1774.85,ip,89.01
1775.8,ip,88.97
1774.45,ip,88.7
1771.69,ip,89.02
1770.7,ip,90
1774.3,ip,89.7
1780.56,ip,90.63
1784.68,ip,91.6
1785.28,ip,91.46
1783.53,ip,92.65
1780.68,ip,92.95
1779.67,ip,93.8
1780.95,ip,93.69
1780.86,ip,94.52
1777.62,ip,94.88
1772.26,ip,95
1768.03,ip,95.84
1769.8,ip,95.76
1775.54,ip,96.34
1779.76,ip,96.65
1780.5,ip,96.67
1778.26,ip,97.34
1776.14,ip,98.08
1775.75,ip,98.38
1775.59,ip,98.61
1774.78,ip,99.36
1772.51,ip,99.24
1768.81,ip,99.74
1766.4,ip,99.78
1768.16,ip,100.39
1773.24,ip,100.6
1778.58,ip,101.01
1781.25,ip,101.95
1780.26,ip,102.87
1779.51,ip,103.1
1779.48,ip,103.55
1777.4,ip,104.25
1776.11,ip,104.39
1774.91,ip,105.29
1769.24,ip,105.56
1764.16,ip,105.68
1767.24,ip,106.33
1774.59,ip,106.92
1778.24,ip,106.55
1779.04,ip,108.1
1779.92,ip,108.88
1779.2,ip,109.53
1778.6,ip,109.68
1780.25,ip,110.53
1781.11,ip,110.57
1779.48,ip,111.85
1775.62,ip,111.95
1772.58,ip,112.05
1777.19,ip,113.19
1785.88,ip,112.83
1789.85,ip,114.03
1789.54,ip,114.65
1788.19,ip,115.19
1786.69,ip,116.17
1785.81,ip,116.64
1786.18,ip,115.55
1786.88,ip,116.25
1785.2,ip,115.35
1780.47,ip,115.23
1777.64,ip,115.06
1781.05,ip,113.96
1787.66,ip,113.13
1793.67,ip,111.88
1797.31,ip,107.79
1796.6,ip,104.92
1795.07,ip,101.79
1795.6,ip,101.62
1795.95,ip,101.84
1795.54,ip,102.47
1792.39,ip,103.26
1786.95,ip,104.37
1785.02,ip,105.56
1788.91,ip,106.46
1794.83,ip,108.24
1798,ip,108.83
1797.87,ip,109.78
1796.67,ip,110.47
1797.11,ip,111.22
1798.78,ip,111.95
1799.47,ip,113.42
1799.58,ip,114.06
1797.62,ip,114.65
1792.48,ip,114.89
1789.43,ip,115.32
1794.1,ip,115.97
1801.87,ip,116.34
1806.6,ip,117.26
1807,ip,118.17
1803.28,ip,119.21
1800.03,ip,119.69
1800.04,ip,119.48
1801.03,ip,119.68
1802.81,ip,119.32
1803.15,ip,120.21
1799.09,ip,121.09
1796.14,ip,121.29
1799.05,ip,121.86
1804.24,ip,121.93
1809.69,ip,121.41
1812.35,ip,122.29
1810.03,ip,123.43
1807.4,ip,123.51
1808.37,ip,125.03
1810.07,ip,124.34
1808.48,ip,123.91
1804.77,ip,124.86
1801.01,ip,124.52
1799.37,ip,124.92
1803.3,ip,124.92
1810.16,ip,124.7
1814.84,ip,125.13
1815.95,ip,125.36
1814.59,ip,125.7
1814.05,ip,126.3
1814.15,ip,126.24
1813.26,ip,127.07
1812.82,ip,127.42
1811.94,ip,127.85
1808.62,ip,127.51
1805.99,ip,128.39
1808.53,ip,128.88
1814.26,ip,129.47
1818.51,ip,129.78
1820.34,ip,130.33
1819.35,ip,130.29
1816.8,ip,130.8
1816.32,ip,131.46
1818.09,ip,131.62
1820.87,ip,132.51
1821.88,ip,132.54
1818.31,ip,132.82
1815.52,ip,133.25
1819.69,ip,132.32
1826.82,ip,133.81
1831.18,ip,133.6
1833.02,ip,133.94
1833.54,ip,134.72
1833.08,ip,134.3
1832.93,ip,134
1833.22,ip,134.15
1833.17,ip,134.48
1831.54,ip,134.11
1827.14,ip,134.73
1824.6,ip,135.18
1829,ip,134.98
1836.24,ip,135.73
1841.5,ip,135.95
1844.61,ip,135.57
1844.77,ip,135.38
1842.43,ip,135.9
1841.65,ip,136.58
1843.02,ip,135.98
1843.74,ip,136.53
1842.13,ip,136.21
1837.84,ip,137.29
1834.16,ip,136.86
1836.69,ip,137.77
1844.18,ip,137.86
1849.87,ip,138.17
1851.44,ip,138.89
1851.05,ip,139.48
1849.68,ip,139.14
1848.4,ip,139.8
1848.19,ip,140.54
1848.53,ip,140.98
1847.14,ip,141.86
1842.94,ip,142.19
1840.39,ip,142.05
1844.64,ip,143.37
1852.75,ip,143.54
1858.01,ip,143.38
1858.52,ip,145.02
1856.51,ip,145.86
1854.43,ip,145.9
1854.98,ip,146.2
1856.88,ip,146.73
1856.69,ip,147.24
1854.82,ip,147.03
1852.03,ip,147.61
1849.09,ip,148.16
1851.92,ip,148.86
1860.48,ip,148.07
1865.76,ip,148.93
1866.27,ip,148.35
1866.03,ip,148.32
1864.98,ip,148.69
1865.03,ip,148.56
1866.33,ip,149.48
1865.31,ip,149.94
1861.98,ip,150.3
1858.79,ip,148.86
1858.23,ip,149.84
1862.9,ip,149.83
1870.78,ip,149.82
1875.42,ip,149.73
1875.61,ip,150.06
1874.62,ip,149.85
1872.9,ip,144.64
1872.29,ip,146.12
1874.4,ip,142.02
1875.79,ip,122.82
1874.41,ip,132.18
1871.99,ip,142.62
1871.47,ip,148.56
1876.39,ip,150.25
1884.56,ip,155.26
1889.96,ip,157.2
1891.44,ip,158.31
1890.96,ip,159.88
1888.59,ip,160.81
1886.65,ip,159.25
1888.01,ip,160.54
1890.78,ip,165.44
1891.27,ip,162.15
1888.09,ip,165.15
1885.98,ip,165.86
1892.31,ip,165.66
1902.44,ip,164.66
1907.9,ip,166.27
1909.2,ip,168.07
1907.95,ip,169.36
1906.31,ip,169.61
1906.41,ip,170.7
1907.79,ip,170.6
1908.83,ip,169.38
1907.48,ip,169.56
1904.85,ip,171.56
1904.01,ip,171.13
1908.32,ip,171.67
1915.06,ip,171.97
1919.43,ip,170.6
1922.09,ip,171.27
1921.99,ip,170.63
1919.97,ip,170.87
1918.93,ip,171.79
1918.75,ip,172.48
1920.06,ip,170.77
1919.72,ip,172.77
1915.46,ip,173.06
1913.18,ip,172.99
1917.09,ip,174.37
1924.92,ip,174
1930.59,ip,173.65
1931.75,ip,174.11
1931.12,ip,173.93
1928.5,ip,174.06
1926.47,ip,175.23
1928.12,ip,174.37
1929.45,ip,174.96
1926.04,ip,175.96
1921.35,ip,175.97
1920.59,ip,176.5
1926.11,ip,176.42
1935.94,ip,176.55
1941.81,ip,177.6
1940.75,ip,177.18
