"","Model","ME","RSME","MAE","MPE","MAPE"
"1","ets_nn_nnExoSE_nnFourier_sses_ssesExoSE",0.2391593964632,1.41070296177752,1.03685581784881,0.0125253392823057,0.0540012136547445
"2","arimaFourier_nn_nnExoSE_nnFourier_sses_ssesExoSE_stlArimaExoSE",0.0995142627661478,1.47763155193324,1.05464620445882,0.00529874165955365,0.0549469590282387
"3","arimaFourier_ets_nn_nnExoSE_nnFourier_sarimaExoSE_sses_ssesExoSE",0.191372024811601,1.46076029046401,1.05905571728996,0.010074593529951,0.0551739033356348
"4","ets_nn_nnExoSE_nnFourier_sses_ssesExoSE_stlArimaExoSE",-0.0435302974937323,1.5067537326394,1.05933487501437,-0.00214585407884826,0.0551828332143263
"5","arimaFourier_nn_nnExoSE_nnFourier_sses_ssesExoSE",0.406044716766356,1.42059926275476,1.06010086343216,0.021210700977106,0.0552184540984407
